ICP e8(smallest denom),Eth wei(smallest denom),Btc Sat(smallest denom),Oro Reward = 888 tokens (e16),Adjusted Rewards (e16),Generator Accounts,Ephemeral Mint Cycle,Total Reward in Tokens per Account,Total Rewards Distributed in Cycle
100000000,100000000,100000000,8880000000000000000.0,8880000000000000000.0,142875,0,888,126873000
100000000,100000000,100000000,8880000000000000000.0,8325000000000000000.0,142875,1,832.5,118943437.5
100000000,100000000,100000000,8880000000000000000.0,7284375000000000000.0,142875,2,728.4375,104075507.8125
100000000,100000000,100000000,8880000000000000000.0,6373828125000000000.0,142875,3,637.3828125,91066069.3359375
100000000,100000000,100000000,8880000000000000000.0,5577099609375000000.0,142875,4,557.7099609375,79682810.6689453
100000000,100000000,100000000,8880000000000000000.0,4879962158203130000.0,142875,5,487.996215820313,69722459.3353272
100000000,100000000,100000000,8880000000000000000.0,4269966888427730000.0,142875,6,426.996688842773,61007151.9184113
100000000,100000000,100000000,8880000000000000000.0,3736221027374270000.0,142875,7,373.622102737427,53381257.9286099
100000000,100000000,100000000,8880000000000000000.0,3269193398952480000.0,142875,8,326.919339895248,46708600.6875336
100000000,100000000,100000000,8880000000000000000.0,2860544224083420000.0,142875,9,286.054422408342,40870025.6015919
100000000,100000000,100000000,8880000000000000000.0,2502976196073000000.0,142875,10,250.2976196073,35761272.4013929
100000000,100000000,100000000,8880000000000000000.0,2190104171563870000.0,142875,11,219.010417156387,31291113.3512188
100000000,100000000,100000000,8880000000000000000.0,1916341150118390000.0,142875,12,191.634115011839,27379724.1823165
100000000,100000000,100000000,8880000000000000000.0,1676798506353590000.0,142875,13,167.679850635359,23957258.6595269
100000000,100000000,100000000,8880000000000000000.0,1467198693059390000.0,142875,14,146.719869305939,20962601.327086
100000000,100000000,100000000,8880000000000000000.0,1283798856426970000.0,142875,15,128.379885642697,18342276.1612003
100000000,100000000,100000000,8880000000000000000.0,1123323999373600000.0,142875,16,112.33239993736,16049491.6410502
100000000,100000000,100000000,8880000000000000000.0,982908499451896000.0,142875,17,98.2908499451896,14043305.185919
100000000,100000000,100000000,8880000000000000000.0,860044937020409000.0,142875,18,86.0044937020409,12287892.0376791
100000000,100000000,100000000,8880000000000000000.0,752539319892858000.0,142875,19,75.2539319892858,10751905.5329692
100000000,100000000,100000000,8880000000000000000.0,658471904906251000.0,142875,20,65.8471904906251,9407917.34134806
100000000,100000000,100000000,8880000000000000000.0,576162916792970000.0,142875,21,57.616291679297,8231927.67367955
100000000,100000000,100000000,8880000000000000000.0,504142552193848000.0,142875,22,50.4142552193848,7202936.71446961
100000000,100000000,100000000,8880000000000000000.0,441124733169617000.0,142875,23,44.1124733169617,6302569.62516091
100000000,100000000,100000000,8880000000000000000.0,385984141523415000.0,142875,24,38.5984141523415,5514748.42201579
100000000,100000000,100000000,8880000000000000000.0,337736123832988000.0,142875,25,33.7736123832988,4825404.86926382
100000000,100000000,100000000,8880000000000000000.0,295519108353865000.0,142875,26,29.5519108353865,4222229.26060584
100000000,100000000,100000000,8880000000000000000.0,258579219809632000.0,142875,27,25.8579219809632,3694450.60303011
100000000,100000000,100000000,8880000000000000000.0,226256817333428000.0,142875,28,22.6256817333428,3232644.27765135
100000000,100000000,100000000,8880000000000000000.0,197974715166749000.0,142875,29,19.7974715166749,2828563.74294493
100000000,100000000,100000000,8880000000000000000.0,173227875770906000.0,142875,30,17.3227875770906,2474993.27507681
100000000,100000000,100000000,8880000000000000000.0,151574391299542000.0,142875,31,15.1574391299542,2165619.11569221
100000000,100000000,100000000,8880000000000000000.0,132627592387100000.0,142875,32,13.26275923871,1894916.72623069
100000000,100000000,100000000,8880000000000000000.0,116049143338712000.0,142875,33,11.6049143338712,1658052.13545185
100000000,100000000,100000000,8880000000000000000.0,101543000421373000.0,142875,34,10.1543000421373,1450795.61852037
100000000,100000000,100000000,8880000000000000000.0,88850125368701500.0,142875,35,8.88501253687015,1269446.16620532
100000000,100000000,100000000,8880000000000000000.0,77743859697613800.0,142875,36,7.77438596976138,1110765.39542966
100000000,100000000,100000000,8880000000000000000.0,68025877235412100.0,142875,37,6.80258772354121,971919.72100095
100000000,100000000,100000000,8880000000000000000.0,59522642580985600.0,142875,38,5.95226425809856,850429.755875831
100000000,100000000,100000000,8880000000000000000.0,52082312258362400.0,142875,39,5.20823122583624,744126.036391352
100000000,100000000,100000000,8880000000000000000.0,45572023226067100.0,142875,40,4.55720232260671,651110.281842433
100000000,100000000,100000000,8880000000000000000.0,39875520322808700.0,142875,41,3.98755203228087,569721.496612129
100000000,100000000,100000000,8880000000000000000.0,34891080282457600.0,142875,42,3.48910802824576,498506.309535613
100000000,100000000,100000000,8880000000000000000.0,30529695247150400.0,142875,43,3.05296952471504,436193.020843661
100000000,100000000,100000000,8880000000000000000.0,26713483341256600.0,142875,44,2.67134833412566,381668.893238204
100000000,100000000,100000000,8880000000000000000.0,23374297923599500.0,142875,45,2.33742979235995,333960.281583428
100000000,100000000,100000000,8880000000000000000.0,20452510683149600.0,142875,46,2.04525106831496,292215.2463855
100000000,100000000,100000000,8880000000000000000.0,17895946847755900.0,142875,47,1.78959468477559,255688.340587312
100000000,100000000,100000000,8880000000000000000.0,15658953491786400.0,142875,48,1.56589534917864,223727.298013898
100000000,100000000,100000000,8880000000000000000.0,13701584305313100.0,142875,49,1.37015843053131,195761.385762161
100000000,100000000,100000000,8880000000000000000.0,11988886267149000.0,142875,50,1.1988886267149,171291.212541891
100000000,100000000,100000000,8880000000000000000.0,10490275483755300.0,142875,51,1.04902754837553,149879.810974154
100000000,100000000,100000000,8880000000000000000.0,9178991048285920.0,142875,52,0.917899104828592,131144.834602385
100000000,100000000,100000000,8880000000000000000.0,8031617167250182.0,142875,53,0.803161716725018,114751.730277087
100000000,100000000,100000000,8880000000000000000.0,7027665021343909.0,142875,54,0.702766502134391,100407.763992451
100000000,100000000,100000000,8880000000000000000.0,6149206893675920.0,142875,55,0.614920689367592,87856.7934933947
100000000,100000000,100000000,8880000000000000000.0,5380556031966430.0,142875,56,0.538055603196643,76874.6943067204
100000000,100000000,100000000,8880000000000000000.0,4707986527970626.0,142875,57,0.470798652797063,67265.3575183803
100000000,100000000,100000000,8880000000000000000.0,4119488211974298.0,142875,58,0.41194882119743,58857.1878285828
100000000,100000000,100000000,8880000000000000000.0,3604552185477511.0,142875,59,0.360455218547751,51500.0393500099
100000000,100000000,100000000,8880000000000000000.0,3153983162292822.0,142875,60,0.315398316229282,45062.5344312587
100000000,100000000,100000000,8880000000000000000.0,2759735267006219.0,142875,61,0.275973526700622,39429.7176273514
100000000,100000000,100000000,8880000000000000000.0,2414768358630440.0,142875,62,0.241476835863044,34501.0029239324
100000000,100000000,100000000,8880000000000000000.0,2112922313801640.0,142875,63,0.211292231380164,30188.3775584409
100000000,100000000,100000000,8880000000000000000.0,1848807024576430.0,142875,64,0.184880702457643,26414.8303636358
100000000,100000000,100000000,8880000000000000000.0,1617706146504380.0,142875,65,0.161770614650438,23112.9765681813
100000000,100000000,100000000,8880000000000000000.0,1415492878191330.0,142875,66,0.141549287819133,20223.8544971586
100000000,100000000,100000000,8880000000000000000.0,1238556268417410.0,142875,67,0.123855626841741,17695.8726850138
100000000,100000000,100000000,8880000000000000000.0,1083736734865240.0,142875,68,0.108373673486524,15483.8885993871
100000000,100000000,100000000,8880000000000000000.0,948269643007083.0,142875,69,0.0948269643007083,13548.4025244637
100000000,100000000,100000000,8880000000000000000.0,829735937631197.0,142875,70,0.0829735937631197,11854.8522089057
100000000,100000000,100000000,8880000000000000000.0,726018945427298.0,142875,71,0.0726018945427298,10372.9956827925
100000000,100000000,100000000,8880000000000000000.0,635266577248886.0,142875,72,0.0635266577248886,9076.37122244345
100000000,100000000,100000000,8880000000000000000.0,555858255092775.0,142875,73,0.0555858255092775,7941.82481963802
100000000,100000000,100000000,8880000000000000000.0,486375973206178.0,142875,74,0.0486375973206178,6949.09671718327
100000000,100000000,100000000,8880000000000000000.0,425578976555406.0,142875,75,0.0425578976555406,6080.45962753536
100000000,100000000,100000000,8880000000000000000.0,372381604485980.0,142875,76,0.037238160448598,5320.40217409344
100000000,100000000,100000000,8880000000000000000.0,325833903925233.0,142875,77,0.0325833903925233,4655.35190233176
100000000,100000000,100000000,8880000000000000000.0,285104665934579.0,142875,78,0.0285104665934578,4073.43291454029
100000000,100000000,100000000,8880000000000000000.0,249466582692756.0,142875,79,0.0249466582692756,3564.25380022275
100000000,100000000,100000000,8880000000000000000.0,218283259856162.0,142875,80,0.0218283259856162,3118.72207519491
